"NOC","Year","Season","Medal","Count"
"FRG",1916,"Summer","Gold",0
"KOR",1916,"Summer","Gold",0
"CHN",1916,"Summer","Gold",0
"DEN",1920,"Summer","Gold",26
"FIN",1920,"Summer","Gold",21
"NOR",1920,"Summer","Gold",58
"NED",1920,"Summer","Gold",15
"FRA",1920,"Summer","Gold",13
"ITA",1920,"Summer","Gold",67
"ESP",1920,"Summer","Gold",0
"RUS",1920,"Summer","Gold",0
"USA",1920,"Summer","Gold",111
"HUN",1920,"Summer","Gold",0
"AUS",1920,"Summer","Gold",0
"CAN",1920,"Summer","Gold",10
"URS",1920,"Summer","Gold",0
"JPN",1920,"Summer","Gold",0
"SUI",1920,"Summer","Gold",6
"GDR",1920,"Summer","Gold",0
"SWE",1920,"Summer","Gold",52
"GBR",1920,"Summer","Gold",52
"ROU",1920,"Summer","Gold",0
"GER",1920,"Summer","Gold",0
"POL",1920,"Summer","Gold",0
"TCH",1920,"Summer","Gold",0
"FRG",1920,"Summer","Gold",0
"KOR",1920,"Summer","Gold",0
"CHN",1920,"Summer","Gold",0
"DEN",1924,"Summer","Gold",2
"FIN",1924,"Summer","Gold",24
"NOR",1924,"Summer","Gold",14
"NED",1924,"Summer","Gold",8
"FRA",1924,"Summer","Gold",37
"ITA",1924,"Summer","Gold",25
"ESP",1924,"Summer","Gold",0
"RUS",1924,"Summer","Gold",0
"USA",1924,"Summer","Gold",97
"HUN",1924,"Summer","Gold",2
"AUS",1924,"Summer","Gold",3
"CAN",1924,"Summer","Gold",0
"URS",1924,"Summer","Gold",0
"JPN",1924,"Summer","Gold",0
"SUI",1924,"Summer","Gold",14
"GDR",1924,"Summer","Gold",0
"SWE",1924,"Summer","Gold",7
"GBR",1924,"Summer","Gold",15
"ROU",1924,"Summer","Gold",0
"GER",1924,"Summer","Gold",0
"POL",1924,"Summer","Gold",0
"TCH",1924,"Summer","Gold",1
"FRG",1924,"Summer","Gold",0
"KOR",1924,"Summer","Gold",0
"CHN",1924,"Summer","Gold",0
"DEN",1928,"Summer","Gold",6
"FIN",1928,"Summer","Gold",8
"NOR",1928,"Summer","Gold",4
"NED",1928,"Summer","Gold",20
"FRA",1928,"Summer","Gold",12
"ITA",1928,"Summer","Gold",24
"ESP",1928,"Summer","Gold",3
